TICK 1,TICK 2,TRADES #,GROWTH W ALGO %,GROWTH WO ALGO %,GROWTH DIFF,PROFIT,INITIAL BUY,COEFFICIENT
,,"=SUBTOTAL(1,C5:C130000)","=SUBTOTAL(1,D5:D130000)","=SUBTOTAL(1,E5:E130000)","=SUBTOTAL(1,F5:F130000)","=SUBTOTAL(1,G5:G130000)","=SUBTOTAL(1,H5:H130000)","=SUBTOTAL(1,I5:I130000)"


AOS,AXP,4,-0.4094281550254615,-2.6392446023952503,2.229816447369789,-0.3052696223911795,74.55999755859375,0.7639097744360903
AOS,AZO,2,9.702024147008682,9.985654892053637,-0.2836307450449542,7.23382896714385,74.55999755859375,0.8646616541353382
AOS,BA,4,-8.223177006502715,-8.690203855658964,0.4670268491562499,-6.1312005752872665,74.55999755859375,0.7097744360902255
AOS,BAC,1,1.2946416836753991,1.2946416836753991,0.0,0.9652848077409146,74.55999755859375,0.706766917293233
AOS,BAX,1,10.119210892011647,10.119210892011647,0.0,7.544883394032837,74.55999755859375,0.669172932330827
AOS,BBY,1,8.508746270709233,8.508746270709233,0.0,6.344121011707742,74.55999755859375,0.7353383458646616
AOS,BDX,2,15.139011171640238,13.589212172357525,1.5497989992827126,11.287646359970196,74.55999755859375,0.6872180451127818
AOS,BEN,3,-1.0113710400054996,-3.311161889085114,2.2997908490796144,-0.7540782227364247,74.55999755859375,0.6030075187969924
AOS,BF.B,1,nan,nan,nan,nan,nan,nan
AOS,BIIB,1,1.0844993958971625,1.0844993958971625,0.0,0.8086027231038884,74.55999755859375,0.7383458646616541
AOS,BIO,6,18.423910776199833,15.192722467035324,3.2311883091645086,13.736867424932086,74.55999755859375,0.7142857142857143
AOS,BK,1,6.680388026513781,6.680388026513781,0.0,4.980897149473265,74.55999755859375,0.6942460062228099
AOS,BKNG,1,1.529390601061319,1.529390601061319,0.0,1.1403135948126817,74.55999755859375,0.7293233082706766
AOS,BKR,1,7.882979362005693,7.882979362005693,0.0,5.877549219855894,74.55999755859375,0.7333584572776161
AOS,BLK,1,5.30066722062076,5.30066722062076,0.0,3.9521773502840176,74.55999755859375,0.7097744360902255
AOS,BLL,1,5.035441658229668,5.035441658229668,0.0,3.754425177440453,74.55999755859375,0.7999999999999999
AOS,BMY,3,12.63830146068944,11.490596555510056,1.1477049051793848,9.423117260537765,74.55999755859375,0.8345864661654135
AOS,BR,1,10.036174584854397,10.036174584854397,0.0,7.482971525443645,74.55999755859375,0.5413533834586466
AOS,BRK.B,1,nan,nan,nan,nan,nan,nan
AOS,BSX,3,13.080845175194112,11.090127867277083,1.9907173079170288,9.753077843268159,74.55999755859375,0.7867619962178323
AOS,BWA,1,6.593462811470854,6.593462811470854,0.0,4.916085711259456,74.55999755859375,0.6857142857142857
AOS,BXP,4,2.7278166519676996,1.0231469352340867,1.704669716733613,2.0338600291100306,74.55999755859375,0.8225563909774435
AOS,C,3,3.0711005797229056,-0.7026480087355018,3.7737485884584077,2.289812517263357,74.55999755859375,0.7203007518796991
AOS,CAG,1,14.170621312712425,14.170621312712425,0.0,10.56561490479595,74.55999755859375,0.5398496240601504
AOS,CAH,1,7.4824154288109,7.4824154288109,0.0,5.578888761045249,74.55999755859375,0.7082706766917292
AOS,CARR,1,4.039024873739787,4.039024873739787,0.0,3.0114968472513794,74.55999755859375,nan
AOS,CAT,1,4.2557363683694165,4.2557363683694165,0.0,3.173076932356423,74.55999755859375,0.5172932330827067
AOS,CB,1,0.812188387318327,0.812188387318327,0.0,0.6055676417557265,74.55999755859375,0.7157894736842104
AOS,CBOE,1,7.69617915861451,7.69617915861451,0.0,5.73827099276798,74.55999755859375,0.7338345864661654
AOS,CBRE,1,2.353429073826426,2.353429073826426,0.0,1.754716659988219,74.55999755859375,0.732330827067669
AOS,CCI,4,12.228539742025427,9.510433041744005,2.7181067002814228,9.117598933105825,74.55999755859375,0.8842105263157894
AOS,CCL,4,0.3540735617983711,-12.687736413705709,13.04180997550408,0.2639972390324914,74.55999755859375,0.6746897806954069
AOS,CDNS,2,13.937698148945346,12.79326126380813,1.1444368851372158,10.391947399577816,74.55999755859375,0.6030075187969924
AOS,CDW,1,3.0662873630859937,3.0662873630859937,0.0,2.2862237830563856,74.55999755859375,0.6827067669172932
